timestamp,event_type,position_id,event_name,strike,side,order_type,tokens,entry_price,exit_price,invested_usd,realized_pnl_usd,roi_pct,entry_edge_pct,entry_reason,close_reason,runtime_min
2026-03-04T11:14:47.961463+00:00,OPEN,8ca330df,Bitcoin above ___ on March 9?,70000,YES,TAKER_FAK,78.12,0.6400,,50.00,,,32.78,edge=32.8% w=0.050 iv=57.9% T=5.2d deribit=13MAR26,,
2026-03-04T11:14:48.051252+00:00,OPEN,5e29c7c1,Bitcoin above ___ on March 10?,68000,YES,TAKER_FAK,29.22,0.7800,,22.79,,,21.99,edge=22.0% w=0.023 iv=60.2% T=6.2d deribit=13MAR26,,
2026-03-04T11:14:48.051890+00:00,OPEN,1dd2ef72,Bitcoin above ___ on March 10?,70000,YES,TAKER_FAK,79.37,0.6300,,50.00,,,30.96,edge=31.0% w=0.050 iv=57.9% T=6.2d deribit=13MAR26,,
2026-03-04T11:22:38.606588+00:00,OPEN,5555ef35,Bitcoin above ___ on March 4?,70000,YES,TAKER_FAK,60.24,0.8300,,50.00,,,17.00,edge=17.0% w=0.500 iv=70.9% T=0.2d deribit=5MAR26,,
2026-03-04T11:22:38.617694+00:00,OPEN,1f2b4312,Bitcoin above ___ on March 5?,70000,YES,TAKER_FAK,70.42,0.7100,,50.00,,,29.00,edge=29.0% w=0.500 iv=70.9% T=1.2d deribit=5MAR26,,
2026-03-04T11:22:38.649853+00:00,OPEN,b07f336e,Bitcoin above ___ on March 7?,70000,YES,TAKER_FAK,75.76,0.6600,,50.00,,,33.70,edge=33.7% w=0.492 iv=63.3% T=3.2d deribit=7MAR26,,
2026-03-04T11:22:38.690513+00:00,OPEN,c786e357,Bitcoin above ___ on March 9?,68000,YES,TAKER_FAK,62.50,0.8000,,50.00,,,20.00,edge=20.0% w=0.095 iv=60.2% T=5.2d deribit=13MAR26,,
2026-03-04T11:22:38.691143+00:00,OPEN,14caa96e,Bitcoin above ___ on March 9?,70000,YES,TAKER_FAK,78.12,0.6400,,50.00,,,32.18,edge=32.2% w=0.405 iv=58.1% T=5.2d deribit=13MAR26,,
2026-03-04T11:22:38.740444+00:00,OPEN,b2bf9510,Bitcoin above ___ on March 10?,68000,YES,TAKER_FAK,64.94,0.7700,,50.00,,,22.99,edge=23.0% w=0.188 iv=60.2% T=6.2d deribit=13MAR26,,
2026-03-04T11:22:38.740956+00:00,OPEN,9dbff22f,Bitcoin above ___ on March 10?,70000,YES,TAKER_FAK,79.37,0.6300,,50.00,,,30.13,edge=30.1% w=0.311 iv=58.1% T=6.2d deribit=13MAR26,,
2026-03-04T11:27:51.079011+00:00,OPEN,32ba78e7,Bitcoin above ___ on March 4?,70000,YES,TAKER_FAK,61.73,0.8100,,50.00,,,19.00,edge=19.0% w=0.500 iv=70.7% T=0.2d deribit=5MAR26,,
2026-03-04T11:27:51.105072+00:00,OPEN,110ef24f,Bitcoin above ___ on March 5?,70000,YES,TAKER_FAK,72.46,0.6900,,50.00,,,31.00,edge=31.0% w=0.500 iv=70.7% T=1.2d deribit=5MAR26,,
2026-03-04T11:27:51.251546+00:00,OPEN,5baf778a,Bitcoin above ___ on March 9?,68000,YES,TAKER_FAK,63.29,0.7900,,50.00,,,21.00,edge=21.0% w=0.142 iv=60.2% T=5.2d deribit=13MAR26,,
2026-03-04T11:27:51.252145+00:00,OPEN,c3aca467,Bitcoin above ___ on March 9?,70000,YES,TAKER_FAK,79.37,0.6300,,50.00,,,31.26,edge=31.3% w=0.358 iv=58.0% T=5.2d deribit=13MAR26,,
2026-03-04T11:27:51.341622+00:00,OPEN,2cdb6317,Bitcoin above ___ on March 10?,68000,YES,TAKER_FAK,64.94,0.7700,,50.00,,,22.98,edge=23.0% w=0.237 iv=60.2% T=6.2d deribit=13MAR26,,
2026-03-04T11:27:51.342173+00:00,OPEN,2f4c2f5d,Bitcoin above ___ on March 10?,70000,YES,TAKER_FAK,80.65,0.6200,,50.00,,,28.69,edge=28.7% w=0.261 iv=58.0% T=6.2d deribit=13MAR26,,
2026-03-04T11:29:15.582057+00:00,OPEN,d0354c1c,Bitcoin above ___ on March 4?,70000,YES,TAKER_FAK,62.50,0.8000,,50.00,,,20.00,edge=20.0% w=0.500 iv=70.7% T=0.2d deribit=5MAR26,,
2026-03-04T11:29:15.606368+00:00,OPEN,5e8b219c,Bitcoin above ___ on March 5?,70000,YES,TAKER_FAK,72.46,0.6900,,50.00,,,31.00,edge=31.0% w=0.500 iv=70.7% T=1.2d deribit=5MAR26,,
2026-03-04T11:29:15.659989+00:00,OPEN,0c1166c1,Bitcoin above ___ on March 7?,70000,YES,TAKER_FAK,76.92,0.6500,,50.00,,,34.32,edge=34.3% w=0.483 iv=63.1% T=3.2d deribit=7MAR26,,
